amfi_code,date,nav
100001,2022-01-01,230.2146
100001,2022-01-02,229.0029
100001,2022-01-03,229.001
100001,2022-01-04,226.6622
100001,2022-01-05,232.4797
100001,2022-01-06,229.3529
100001,2022-01-07,231.8111
100001,2022-01-08,231.0789
100001,2022-01-09,231.5519
100001,2022-01-10,231.9193
100001,2022-01-11,232.4655
100001,2022-01-12,232.4526
100001,2022-01-13,230.8637
100001,2022-01-14,228.0533
100001,2022-01-15,223.8072
100001,2022-01-16,225.1983
100001,2022-01-17,221.6038
100001,2022-01-18,216.9485
100001,2022-01-19,216.7852
100001,2022-01-20,214.3157
100001,2022-01-21,217.1649
100001,2022-01-22,215.5364
100001,2022-01-23,212.1164
100001,2022-01-24,210.6515
100001,2022-01-25,207.4334
100001,2022-01-26,203.3697
100001,2022-01-27,205.4278
100001,2022-01-28,207.9585
100001,2022-01-29,206.8136
100001,2022-01-30,202.6366
100001,2022-01-31,201.9396
100001,2022-02-01,198.1179
100001,2022-02-02,199.0478
100001,2022-02-03,193.2442
100001,2022-02-04,192.4423
100001,2022-02-05,194.0374
100001,2022-02-06,192.0035
100001,2022-02-07,190.9067
100001,2022-02-08,190.4561
100001,2022-02-09,187.8562
100001,2022-02-10,186.5167
100001,2022-02-11,187.395
100001,2022-02-12,186.6196
100001,2022-02-13,185.6529
100001,2022-02-14,186.3683
100001,2022-02-15,186.9856
100001,2022-02-16,187.7229
100001,2022-02-17,182.7772
100001,2022-02-18,180.3701
100001,2022-02-19,175.8913
100001,2022-02-20,177.2681
100001,2022-02-21,179.31
100001,2022-02-22,181.7171
100001,2022-02-23,181.2008
100001,2022-02-24,178.125
100001,2022-02-25,176.8159
100001,2022-02-26,178.5098
100001,2022-02-27,177.9921
100001,2022-02-28,174.4659
100001,2022-03-01,170.8763
100001,2022-03-02,172.6402
100001,2022-03-03,170.6014
100001,2022-03-04,171.4675
100001,2022-03-05,168.4868
100001,2022-03-06,172.6953
100001,2022-03-07,173.9307
100001,2022-03-08,175.4043
100001,2022-03-09,177.2366
100001,2022-03-10,176.097
100001,2022-03-11,177.2038
100001,2022-03-12,176.3018
100001,2022-03-13,175.4041
100001,2022-03-14,171.6124
100001,2022-03-15,172.4776
100001,2022-03-16,175.7897
100001,2022-03-17,177.913
100001,2022-03-18,179.6796
100001,2022-03-19,178.3443
100001,2022-03-20,179.3383
100001,2022-03-21,179.9145
100001,2022-03-22,182.4
100001,2022-03-23,180.8785
100001,2022-03-24,178.7351
100001,2022-03-25,179.5253
100001,2022-03-26,180.8449
100001,2022-03-27,185.8605
100001,2022-03-28,182.9721
100001,2022-03-29,184.623
100001,2022-03-30,181.8758
100001,2022-03-31,178.8234
100001,2022-04-01,173.2117
100001,2022-04-02,173.0257
100001,2022-04-03,171.3859
100001,2022-04-04,172.3632
100001,2022-04-05,169.4006
100001,2022-04-06,170.5474
100001,2022-04-07,170.6099
100001,2022-04-08,167.3711
100001,2022-04-09,170.3423
100001,2022-04-10,172.5313
100001,2022-04-11,173.7012
100001,2022-04-12,174.8679
100001,2022-04-13,177.4645
100001,2022-04-14,177.3107
100001,2022-04-15,176.0962
100001,2022-04-16,174.2299
100001,2022-04-17,171.1143
100001,2022-04-18,168.3024
100001,2022-04-19,166.8273
100001,2022-04-20,163.5589
100001,2022-04-21,165.2049
100001,2022-04-22,164.325
100001,2022-04-23,162.1904
100001,2022-04-24,165.1286
100001,2022-04-25,164.7829
100001,2022-04-26,165.2512
100001,2022-04-27,166.6665
100001,2022-04-28,164.2798
100001,2022-04-29,166.4529
100001,2022-04-30,163.7921
100001,2022-05-01,163.8961
100001,2022-05-02,163.9854
100001,2022-05-03,163.2951
100001,2022-05-04,164.8559
100001,2022-05-05,167.442
100001,2022-05-06,169.9654
100001,2022-05-07,173.4256
100001,2022-05-08,174.1167
100001,2022-05-09,174.4663
100001,2022-05-10,175.3863
100001,2022-05-11,176.1723
100001,2022-05-12,179.6011
100001,2022-05-13,178.1442
100001,2022-05-14,176.9383
100001,2022-05-15,177.3898
100001,2022-05-16,175.4018
100001,2022-05-17,174.9134
100001,2022-05-18,175.0087
100001,2022-05-19,176.134
100001,2022-05-20,174.8912
100001,2022-05-21,179.5693
100001,2022-05-22,175.3253
100001,2022-05-23,173.3671
100001,2022-05-24,176.2522
100001,2022-05-25,177.473
100001,2022-05-26,179.8494
100001,2022-05-27,180.5604
100001,2022-05-28,183.1486
100001,2022-05-29,183.2333
100001,2022-05-30,186.8508
100001,2022-05-31,187.2549
100001,2022-06-01,184.1643
100001,2022-06-02,180.9088
100001,2022-06-03,177.9636
100001,2022-06-04,178.9065
100001,2022-06-05,177.8456
100001,2022-06-06,178.7377
100001,2022-06-07,181.3977
100001,2022-06-08,182.9558
100001,2022-06-09,182.1886
100001,2022-06-10,180.6127
100001,2022-06-11,180.3535
100001,2022-06-12,180.0551
100001,2022-06-13,181.9239
100001,2022-06-14,182.4172
100001,2022-06-15,178.6537
100001,2022-06-16,180.8722
100001,2022-06-17,182.7945
100001,2022-06-18,182.3052
100001,2022-06-19,184.8431
100001,2022-06-20,185.1811
100001,2022-06-21,183.3457
100001,2022-06-22,182.3697
100001,2022-06-23,182.3136
100001,2022-06-24,183.989
100001,2022-06-25,182.8121
100001,2022-06-26,178.8439
100001,2022-06-27,178.6014
100001,2022-06-28,179.7803
100001,2022-06-29,180.2833
100001,2022-06-30,180.8
100001,2022-07-01,181.7339
100001,2022-07-02,183.4313
100001,2022-07-03,189.7035
100001,2022-07-04,189.2281
100001,2022-07-05,187.5876
100001,2022-07-06,189.8211
100001,2022-07-07,191.4403
100001,2022-07-08,192.7746
100001,2022-07-09,189.2494
100001,2022-07-10,190.9016
100001,2022-07-11,191.5386
100001,2022-07-12,190.2082
100001,2022-07-13,188.3327
100001,2022-07-14,191.2596
100001,2022-07-15,188.2109
100001,2022-07-16,189.2308
100001,2022-07-17,190.1365
100001,2022-07-18,189.7311
100001,2022-07-19,189.0294
100001,2022-07-20,184.9261
100001,2022-07-21,186.7058
100001,2022-07-22,186.1503
100001,2022-07-23,182.7067
100001,2022-07-24,179.4873
100001,2022-07-25,179.4638
100001,2022-07-26,181.8775
100001,2022-07-27,180.0008
100001,2022-07-28,177.0363
100001,2022-07-29,178.8919
100001,2022-07-30,179.6609
100001,2022-07-31,180.4063
100001,2022-08-01,176.1168
100001,2022-08-02,174.1945
100001,2022-08-03,172.5792
100001,2022-08-04,173.0169
100001,2022-08-05,173.5603
100001,2022-08-06,174.0803
100001,2022-08-07,170.8994
100001,2022-08-08,171.1547
100001,2022-08-09,173.3544
100001,2022-08-10,169.7096
100001,2022-08-11,173.1996
100001,2022-08-12,175.278
100001,2022-08-13,173.358
100001,2022-08-14,173.9438
100001,2022-08-15,173.8082
100001,2022-08-16,178.7872
100001,2022-08-17,178.837
100001,2022-08-18,177.6774
100001,2022-08-19,178.7229
100001,2022-08-20,176.5398
100001,2022-08-21,177.6517
100001,2022-08-22,178.3867
100001,2022-08-23,177.4239
100001,2022-08-24,176.4925
100001,2022-08-25,171.1028
100001,2022-08-26,172.5827
100001,2022-08-27,174.4234
100001,2022-08-28,175.9689
100001,2022-08-29,173.2067
100001,2022-08-30,172.5998
100001,2022-08-31,171.8554
100001,2022-09-01,172.6669
100001,2022-09-02,171.3179
100001,2022-09-03,170.7116
100001,2022-09-04,170.7999
100001,2022-09-05,171.5897
100001,2022-09-06,174.0423
100001,2022-09-07,171.6598
100001,2022-09-08,175.3338
100001,2022-09-09,174.5457
100001,2022-09-10,175.049
100001,2022-09-11,176.4117
100001,2022-09-12,176.964
100001,2022-09-13,181.2786
100001,2022-09-14,180.8179
100001,2022-09-15,181.8145
100001,2022-09-16,182.2906
100001,2022-09-17,180.8247
100001,2022-09-18,182.5969
100001,2022-09-19,181.9905
100001,2022-09-20,182.6354
100001,2022-09-21,183.4209
100001,2022-09-22,184.6647
100001,2022-09-23,186.0037
100001,2022-09-24,189.7461
100001,2022-09-25,192.6942
100001,2022-09-26,199.2393
100001,2022-09-27,199.5618
100001,2022-09-28,198.45
100001,2022-09-29,202.2203
100001,2022-09-30,200.5652
100001,2022-10-01,199.8676
100001,2022-10-02,201.9103
100001,2022-10-03,204.3729
100001,2022-10-04,203.8378
100001,2022-10-05,203.5226
100001,2022-10-06,206.6787
100001,2022-10-07,203.9968
100001,2022-10-08,202.0393
100001,2022-10-09,204.4044
100001,2022-10-10,205.9656
100001,2022-10-11,204.5916
100001,2022-10-12,204.922
100001,2022-10-13,207.7254
100001,2022-10-14,207.2489
100001,2022-10-15,206.2408
100001,2022-10-16,205.3939
100001,2022-10-17,205.1383
100001,2022-10-18,209.5218
100001,2022-10-19,209.8467
100001,2022-10-20,207.6767
100001,2022-10-21,208.2674
100001,2022-10-22,209.0177
100001,2022-10-23,211.1388
100001,2022-10-24,213.1375
100001,2022-10-25,216.5249
100001,2022-10-26,217.2705
100001,2022-10-27,214.6715
100001,2022-10-28,211.6505
100001,2022-10-29,208.2024
100001,2022-10-30,209.8381
100001,2022-10-31,209.6402
100001,2022-11-01,210.788
100001,2022-11-02,212.8612
100001,2022-11-03,210.8467
100001,2022-11-04,209.8118
100001,2022-11-05,208.5661
100001,2022-11-06,207.3174
100001,2022-11-07,207.3759
100001,2022-11-08,208.6077
100001,2022-11-09,207.3813
100001,2022-11-10,210.1239
100001,2022-11-11,215.946
100001,2022-11-12,217.2197
100001,2022-11-13,223.6067
100001,2022-11-14,218.881
100001,2022-11-15,217.6757
100001,2022-11-16,220.1255
100001,2022-11-17,222.1
100001,2022-11-18,219.236
100001,2022-11-19,217.337
100001,2022-11-20,219.199
100001,2022-11-21,219.253
100001,2022-11-22,219.9417
100001,2022-11-23,223.8407
100001,2022-11-24,224.6588
100001,2022-11-25,225.5334
100001,2022-11-26,227.4015
100001,2022-11-27,229.2121
100001,2022-11-28,226.2074
100001,2022-11-29,226.0719
100001,2022-11-30,226.8514
100001,2022-12-01,228.8149
100001,2022-12-02,226.4225
100001,2022-12-03,231.4615
100001,2022-12-04,233.727
100001,2022-12-05,228.348
100001,2022-12-06,226.1834
100001,2022-12-07,226.1854
100001,2022-12-08,225.5435
100001,2022-12-09,228.3447
100001,2022-12-10,233.1451
100001,2022-12-11,235.1693
100001,2022-12-12,235.8926
100001,2022-12-13,240.7378
100001,2022-12-14,244.7148
100001,2022-12-15,245.0732
100001,2022-12-16,239.9361
100001,2022-12-17,240.6102
100001,2022-12-18,240.1962
100001,2022-12-19,242.1633
100001,2022-12-20,240.0265
100001,2022-12-21,236.5815
100001,2022-12-22,235.9297
100001,2022-12-23,229.3548
100001,2022-12-24,228.3396
100001,2022-12-25,225.4841
100001,2022-12-26,224.1492
100001,2022-12-27,224.5317
100001,2022-12-28,227.1294
100001,2022-12-29,221.8027
100001,2022-12-30,222.0222
100001,2022-12-31,220.831
100001,2023-01-01,221.3414
100001,2023-01-02,219.6404
100001,2023-01-03,216.5065
100001,2023-01-04,218.7453
100001,2023-01-05,223.9325
100001,2023-01-06,231.4458
100001,2023-01-07,230.7661
100001,2023-01-08,228.265
100001,2023-01-09,225.4153
100001,2023-01-10,226.8145
100001,2023-01-11,222.2033
100001,2023-01-12,225.4095
100001,2023-01-13,226.4269
100001,2023-01-14,224.8062
100001,2023-01-15,227.5868
100001,2023-01-16,223.6859
100001,2023-01-17,225.3814
100001,2023-01-18,225.781
100001,2023-01-19,226.2376
100001,2023-01-20,226.2227
100001,2023-01-21,228.7784
100001,2023-01-22,230.3362
100001,2023-01-23,226.7983
100001,2023-01-24,220.3892
100001,2023-01-25,217.9278
100001,2023-01-26,218.2784
100001,2023-01-27,221.7938
100001,2023-01-28,224.1132
100001,2023-01-29,225.4323
100001,2023-01-30,229.3016
100001,2023-01-31,227.7105
100001,2023-02-01,226.0458
100001,2023-02-02,224.0519
100001,2023-02-03,219.2602
100001,2023-02-04,223.1884
100001,2023-02-05,223.3226
100001,2023-02-06,225.1101
100001,2023-02-07,224.506
100001,2023-02-08,225.9147
100001,2023-02-09,225.5885
100001,2023-02-10,223.8458
100001,2023-02-11,225.3969
100001,2023-02-12,225.3334
100001,2023-02-13,224.1788
100001,2023-02-14,224.7241
100001,2023-02-15,226.3285
100001,2023-02-16,223.6049
100001,2023-02-17,219.8459
100001,2023-02-18,219.2382
100001,2023-02-19,217.3228
100001,2023-02-20,213.6737
100001,2023-02-21,210.6686
100001,2023-02-22,211.7314
100001,2023-02-23,211.7448
100001,2023-02-24,211.8529
100001,2023-02-25,209.0652
100001,2023-02-26,209.8782
100001,2023-02-27,210.7374
100001,2023-02-28,212.0358
100001,2023-03-01,213.3699
100001,2023-03-02,210.2729
100001,2023-03-03,211.3595
100001,2023-03-04,209.3152
100001,2023-03-05,209.3705
100001,2023-03-06,210.4316
100001,2023-03-07,208.9741
100001,2023-03-08,208.9992
100001,2023-03-09,206.2592
